"name","state","fueltech_id","label","lng","lat"
"Appin","NSW","gas_wcmg","Gas (Coal Mine Waste)",150.792711,-34.210868
"Awaba","NSW","bioenergy_biogas","Biogas",151.551228,-33.023339
"Bankstown Sports Club","NSW","distillate","Distillate",151.033742,-33.919998
"Broadwater","NSW","bioenergy_biogas","Biogas",153.44575600000002,-29.016483
"Broken Hill","NSW","distillate","Distillate",141.420620039361,-31.9863131909747
"Colongra","NSW","gas_ocgt","Gas (OCGT)",151.543540042872,-33.2087809607995
"Condong","NSW","bioenergy_biogas","Biogas",153.433808,-28.314766
"Earthpower","NSW","gas_recip","Gas (Reciprocating)",151.04214199999998,-33.824397
"Eastern Creek","NSW","bioenergy_biogas","Biogas",150.854307,-33.815468
"Eastern Creek 2","NSW","bioenergy_biogas","Biogas",150.854307,-33.815468
"Eraring","NSW","distillate","Distillate",151.517224,-33.062117
"Glennies Creek","NSW","gas_wcmg","Gas (Coal Mine Waste)",151.130432,-32.464343
"Grange Avenue","NSW","bioenergy_biogas","Biogas",150.83316000000002,-33.713011
"Hunter Economic Zone","NSW","distillate","Distillate",151.451033,-32.835481
"Hunter Valley","NSW","distillate","Distillate",150.965962887934,-32.3899891907919
"Jacks Gully","NSW","bioenergy_biogas","Biogas",150.74369099999998,-34.072955
"Kincumber","NSW","bioenergy_biogas","Biogas",151.402603,-33.477111
"Lucas Heights 2","NSW","bioenergy_biogas","Biogas",150.972475,-34.044088
"Smithfield","NSW","gas_ccgt","Gas (CCGT)",150.950050828532,-33.8500226284367
"St George Leagues Club","NSW","distillate","Distillate",151.129354,-33.974819000000004
"Tahmoor","NSW","gas_wcmg","Gas (Coal Mine Waste)",150.577718,-34.249117
"Tallawarra","NSW","gas_ccgt","Gas (CCGT)",150.808566045493,-34.5230894452804
"Teralba","NSW","gas_wcmg","Gas (Coal Mine Waste)",151.612042,-32.945557
"Tower","NSW","gas_wcmg","Gas (Coal Mine Waste)",150.71801200000002,-34.219460999999995
"Uranquinty","NSW","gas_ocgt","Gas (OCGT)",147.21565992714,-35.180225647620205
"West Illawarra Leagues Club","NSW","distillate","Distillate",150.843037,-34.451645
"West Nowra","NSW","bioenergy_biogas","Biogas",150.551075,-34.882318
"Western Suburbs League Club","NSW","distillate","Distillate",150.83275700000002,-34.051072999999995
"Wilga Park","NSW","gas_recip","Gas (Reciprocating)",149.65276799999998,-30.314444
"Wilga Park B","NSW","gas_recip","Gas (Reciprocating)",149.65276799999998,-30.314444
"Willoughby","NSW","distillate","Distillate",151.196599,-33.810858
"Woodlawn","NSW","bioenergy_biogas","Biogas",149.5749,-35.05928
"Woy Woy","NSW","bioenergy_biogas","Biogas",151.291606,-33.506914
"Barcaldine","QLD","gas_ccgt","Gas (CCGT)",145.31485121010098,-23.5521705751292
"Braemar","QLD","gas_ocgt","Gas (OCGT)",150.907647496929,-27.111668775911003
"Braemar 2","QLD","gas_ocgt","Gas (OCGT)",150.90765329885,-27.1098726737727
"Browns Plains","QLD","bioenergy_biogas","Biogas",153.068499,-27.674584000000003
"Condamine A","QLD","gas_ccgt","Gas (CCGT)",150.268581153696,-26.6666729324806
"Daandine","QLD","gas_recip","Gas (Reciprocating)",150.94252770215,-27.0862943709476
"Darling Downs","QLD","gas_ccgt","Gas (CCGT)",150.89539128796198,-27.1168512752019
"German Creek","QLD","gas_wcmg","Gas (Coal Mine Waste)",148.549097,-22.928526
"Invicta Sugar Mill","QLD","bioenergy_biomass","Biomass",147.106530479438,-19.5157903138225
"Isis Central Sugar Mill","QLD","bioenergy_biomass","Biomass",152.206949,-25.197619
"KRC Cogen","QLD","gas_ocgt","Gas (OCGT)",151.926883,-27.573590000000003
"Mackay","QLD","distillate","Distillate",149.159170667386,-21.1444407069939
"Moranbah","QLD","gas_recip","Gas (Reciprocating)",148.006004,-21.962469
"Moranbah North","QLD","gas_wcmg","Gas (Coal Mine Waste)",148.004809,-21.978481
"Mt Stuart","QLD","distillate","Distillate",146.851238997871,-19.3371562032237
"Oakey","QLD","gas_ocgt","Gas (OCGT)",151.678887225743,-27.4182072591559
"Oaky Creek","QLD","gas_recip","Gas (Reciprocating)",148.484462,-23.048717
"Oaky Creek 2","QLD","gas_wcmg","Gas (Coal Mine Waste)",148.484462,-23.048717
"Pioneer Sugar Mill","QLD","bioenergy_biomass","Biomass",147.330825,-19.557546
"Racecourse Mill","QLD","bioenergy_biomass","Biomass",149.13573799999998,-21.163842000000002
"Rochedale","QLD","bioenergy_biogas","Biogas",153.123155,-27.555798
"Rocky Point Cogen","QLD","bioenergy_biomass","Biomass",153.326464,-27.733564
"Roghan Road","QLD","bioenergy_biogas","Biogas",153.04949399999998,-27.342062
